,Zone,Lower_left,Upper_right,Center,Super_center,Super_center_nr
91,92,"[10.723904, 59.932456]","[10.732638, 59.936993]","[10.728271, 59.934724]","[10.732638, 59.936993]",19.0
92,93,"[10.71517, 59.932456]","[10.723904, 59.936993]","[10.719537, 59.934724]","[10.71517, 59.932456]",21.0
93,94,"[10.706436, 59.932456]","[10.71517, 59.936993]","[10.710803, 59.934724]","[10.71517, 59.932456]",21.0
94,95,"[10.697702, 59.932456]","[10.706436, 59.936993]","[10.702069, 59.934724]","[10.697702, 59.936993]",20.0
95,96,"[10.688968, 59.932456]","[10.697702, 59.936993]","[10.693335, 59.934724]","[10.697702, 59.936993]",20.0
96,97,"[10.680234, 59.932456]","[10.688968, 59.936993]","[10.684601, 59.934724]","[10.680234, 59.932456]",22.0
97,98,"[10.6715, 59.932456]","[10.680234, 59.936993]","[10.675867, 59.934724]","[10.680234, 59.932456]",22.0
98,99,"[10.828713, 59.927919]","[10.837447, 59.932456]","[10.83308, 59.930188]","[10.83308, 59.930188]",62.0
99,100,"[10.811245, 59.927919]","[10.819979, 59.932456]","[10.815612, 59.930188]","[10.815612, 59.930188]",63.0
100,101,"[10.802511, 59.927919]","[10.811245, 59.932456]","[10.806878, 59.930188]","[10.802511, 59.927919]",23.0
101,102,"[10.793777, 59.927919]","[10.802511, 59.932456]","[10.798144, 59.930188]","[10.802511, 59.927919]",23.0
102,103,"[10.785043, 59.927919]","[10.793777, 59.932456]","[10.78941, 59.930188]","[10.785043, 59.927919]",24.0
103,104,"[10.776308, 59.927919]","[10.785043, 59.932456]","[10.780676, 59.930188]","[10.785043, 59.927919]",24.0
104,105,"[10.767574, 59.927919]","[10.776309, 59.932456]","[10.771941, 59.930188]","[10.767574, 59.927919]",25.0
105,106,"[10.75884, 59.927919]","[10.767574, 59.932456]","[10.763207, 59.930188]","[10.767574, 59.927919]",25.0
106,107,"[10.750106, 59.927919]","[10.75884, 59.932456]","[10.754473, 59.930188]","[10.750106, 59.927919]",26.0
107,108,"[10.741372, 59.927919]","[10.750106, 59.932456]","[10.745739, 59.930188]","[10.750106, 59.927919]",26.0
108,109,"[10.732638, 59.927919]","[10.741372, 59.932456]","[10.737005, 59.930188]","[10.732638, 59.927919]",27.0
109,110,"[10.723904, 59.927919]","[10.732638, 59.932456]","[10.728271, 59.930188]","[10.732638, 59.927919]",27.0
110,111,"[10.71517, 59.927919]","[10.723904, 59.932456]","[10.719537, 59.930188]","[10.71517, 59.932456]",21.0
111,112,"[10.706436, 59.927919]","[10.71517, 59.932456]","[10.710803, 59.930188]","[10.71517, 59.932456]",21.0
112,113,"[10.697702, 59.927919]","[10.706436, 59.932456]","[10.702069, 59.930188]","[10.702069, 59.930188]",64.0
113,114,"[10.688968, 59.927919]","[10.697702, 59.932456]","[10.693335, 59.930188]","[10.693335, 59.930188]",65.0
114,115,"[10.680234, 59.927919]","[10.688968, 59.932456]","[10.684601, 59.930188]","[10.680234, 59.932456]",22.0
115,116,"[10.6715, 59.927919]","[10.680234, 59.932456]","[10.675867, 59.930188]","[10.680234, 59.932456]",22.0
116,117,"[10.662766, 59.927919]","[10.6715, 59.932456]","[10.667133, 59.930188]","[10.662766, 59.927919]",28.0
117,118,"[10.654032, 59.927919]","[10.662766, 59.932456]","[10.658399, 59.930188]","[10.662766, 59.927919]",28.0
118,119,"[10.819979, 59.923383]","[10.828713, 59.927919]","[10.824346, 59.925651]","[10.824346, 59.925651]",66.0
119,120,"[10.802511, 59.923383]","[10.811245, 59.927919]","[10.806878, 59.925651]","[10.802511, 59.927919]",23.0
120,121,"[10.793777, 59.923383]","[10.802511, 59.927919]","[10.798144, 59.925651]","[10.802511, 59.927919]",23.0
121,122,"[10.785043, 59.923383]","[10.793777, 59.927919]","[10.78941, 59.925651]","[10.785043, 59.927919]",24.0
122,123,"[10.776308, 59.923383]","[10.785043, 59.927919]","[10.780676, 59.925651]","[10.785043, 59.927919]",24.0
123,124,"[10.767574, 59.923383]","[10.776309, 59.927919]","[10.771941, 59.925651]","[10.767574, 59.927919]",25.0
