,Zone,Lower Left,Upper Right,Center
54,55,"[10.732638375, 59.94152961538462]","[10.741372400000001, 59.946066384615385]","[10.737005387500002, 59.943798]"
55,56,"[10.72390435, 59.94152961538462]","[10.732638375, 59.946066384615385]","[10.7282713625, 59.943798]"
56,57,"[10.715170324999999, 59.94152961538462]","[10.72390435, 59.946066384615385]","[10.7195373375, 59.943798]"
57,58,"[10.7064363, 59.94152961538462]","[10.715170325, 59.946066384615385]","[10.710803312500001, 59.943798]"
58,59,"[10.697702275, 59.94152961538462]","[10.7064363, 59.946066384615385]","[10.702069287499999, 59.943798]"
59,60,"[10.889850825, 59.93699284615384]","[10.89858485, 59.94152961538461]","[10.894217837500001, 59.939261230769226]"
60,61,"[10.82871265, 59.93699284615384]","[10.837446675, 59.94152961538461]","[10.833079662500001, 59.939261230769226]"
61,62,"[10.819978625, 59.93699284615384]","[10.82871265, 59.94152961538461]","[10.824345637499999, 59.939261230769226]"
62,63,"[10.8112446, 59.93699284615384]","[10.819978625000001, 59.94152961538461]","[10.8156116125, 59.939261230769226]"
63,64,"[10.802510575, 59.93699284615384]","[10.8112446, 59.94152961538461]","[10.8068775875, 59.939261230769226]"
64,65,"[10.79377655, 59.93699284615384]","[10.802510575000001, 59.94152961538461]","[10.798143562500002, 59.939261230769226]"
65,66,"[10.785042525, 59.93699284615384]","[10.79377655, 59.94152961538461]","[10.7894095375, 59.939261230769226]"
66,67,"[10.776308499999999, 59.93699284615384]","[10.785042525, 59.94152961538461]","[10.7806755125, 59.939261230769226]"
