,Zone,Period,Pickup occurences,Delivery occurences,Pickup distribution,Delivery distribution
4908,205,12,"{""0"": 354, ""1"": 11}","{""0"": 357, ""1"": 8}","[0.97, 0.03]","[0.978, 0.022]"
4909,205,13,"{""0"": 353, ""1"": 12}","{""0"": 355, ""1"": 10}","[0.967, 0.033]","[0.973, 0.027]"
4910,205,14,"{""0"": 356, ""1"": 9}","{""0"": 352, ""1"": 12, ""2"": 1}","[0.975, 0.025]","[0.964, 0.033, 0.003]"
4911,205,15,"{""0"": 355, ""1"": 9, ""2"": 1}","{""0"": 344, ""1"": 20, ""2"": 1}","[0.973, 0.025, 0.003]","[0.942, 0.055, 0.003]"
4912,205,16,"{""0"": 352, ""1"": 12, ""2"": 1}","{""0"": 339, ""1"": 25, ""2"": 1}","[0.964, 0.033, 0.003]","[0.929, 0.068, 0.003]"
4913,205,17,"{""0"": 350, ""1"": 14, ""2"": 1}","{""0"": 347, ""1"": 18}","[0.959, 0.038, 0.003]","[0.951, 0.049]"
4914,205,18,"{""0"": 348, ""1"": 16, ""2"": 1}","{""0"": 354, ""1"": 10, ""2"": 1}","[0.953, 0.044, 0.003]","[0.97, 0.027, 0.003]"
4915,205,19,"{""0"": 355, ""1"": 10}","{""0"": 353, ""1"": 12}","[0.973, 0.027]","[0.967, 0.033]"
4916,205,20,"{""0"": 361, ""1"": 4}","{""0"": 358, ""1"": 6, ""2"": 1}","[0.989, 0.011]","[0.981, 0.016, 0.003]"
4917,205,21,"{""0"": 362, ""1"": 3}","{""0"": 355, ""1"": 10}","[0.992, 0.008]","[0.973, 0.027]"
4918,205,22,"{""0"": 363, ""1"": 2}","{""0"": 350, ""1"": 15}","[0.995, 0.005]","[0.959, 0.041]"
4919,205,23,"{""0"": 364, ""1"": 1}","{""0"": 357, ""1"": 8}","[0.997, 0.003]","[0.978, 0.022]"
4920,206,0,"{""0"": 364, ""1"": 1}","{""0"": 363, ""1"": 2}","[0.997, 0.003]","[0.995, 0.005]"
4921,206,1,"{""0"": 364, ""1"": 1}","{""0"": 364, ""1"": 1}","[0.997, 0.003]","[0.997, 0.003]"
4922,206,2,"{""0"": 365}","{""0"": 364, ""1"": 1}",[1.0],"[0.997, 0.003]"
4923,206,3,"{""0"": 365}","{""0"": 364, ""1"": 1}",[1.0],"[0.997, 0.003]"
4924,206,4,"{""0"": 365}","{""0"": 365}",[1.0],[1.0]
4925,206,5,"{""0"": 364, ""1"": 1}","{""0"": 362, ""1"": 3}","[0.997, 0.003]","[0.992, 0.008]"
4926,206,6,"{""0"": 354, ""1"": 11}","{""0"": 359, ""1"": 6}","[0.97, 0.03]","[0.984, 0.016]"
